flow,se,power,efficiency,head,num_units,unit1,unit2,unit3,unit4,unit5,unit6
2969.9,0.539,1602.2,68.2,135.1,1,OFF,OFF,OFF,OFF,OFF,ON
2671.8,0.502,1342.3,72.6,133.9,1,OFF,OFF,OFF,OFF,ON,OFF
5422,0.55,2984.6,72.5,146.5,2,OFF,OFF,OFF,OFF,ON,ON
2859.8,0.567,1621.1,64.7,134.6,1,OFF,OFF,OFF,ON,OFF,OFF
5631.9,0.581,3272.6,69.2,147.8,2,OFF,OFF,OFF,ON,OFF,ON
5334.5,0.561,2992.6,70.8,146,2,OFF,OFF,OFF,ON,ON,OFF
7848.2,0.597,4688.7,73.5,161.4,3,OFF,OFF,OFF,ON,ON,ON
2819.3,0.518,1459.8,70.7,134.5,1,OFF,OFF,ON,OFF,OFF,OFF
5608.2,0.554,3109.2,72.5,147.6,2,OFF,OFF,ON,OFF,OFF,ON
5310.7,0.533,2829.1,74.5,145.9,2,OFF,OFF,ON,OFF,ON,OFF
7821.6,0.579,4528.8,75.8,161.2,3,OFF,OFF,ON,OFF,ON,ON
5521.9,0.564,3115.7,71,147.1,2,OFF,OFF,ON,ON,OFF,OFF
8032.4,0.601,4827.9,73.7,162.8,3,OFF,OFF,ON,ON,OFF,ON
7758.4,0.583,4521.6,75.1,160.7,3,OFF,OFF,ON,ON,ON,OFF
9936.1,0.629,6250.9,77,177.9,4,OFF,OFF,ON,ON,ON,ON
2694.4,0.571,1538.2,63.9,134,1,OFF,ON,OFF,OFF,OFF,OFF
5473.5,0.583,3191.4,68.6,146.8,2,OFF,ON,OFF,OFF,OFF,ON
5173.2,0.563,2912.7,70.2,145.2,2,OFF,ON,OFF,OFF,ON,OFF
7706.1,0.598,4607.8,73,160.3,3,OFF,ON,OFF,OFF,ON,ON
5385.9,0.594,3198.6,67.1,146.3,2,OFF,ON,OFF,ON,OFF,OFF
7916.7,0.62,4906.8,71.1,161.9,3,OFF,ON,OFF,ON,OFF,ON
7639.5,0.602,4601.8,72.3,159.9,3,OFF,ON,OFF,ON,ON,OFF
9845.6,0.643,6327.2,75,177,4,OFF,ON,OFF,ON,ON,ON
5362.6,0.566,3034.9,70.3,146.2,2,OFF,ON,ON,OFF,OFF,OFF
7889.5,0.602,4747,73.2,161.7,3,OFF,ON,ON,OFF,OFF,ON
7612.1,0.584,4442,74.5,159.8,3,OFF,ON,ON,OFF,ON,OFF
9814.4,0.629,6170.9,76.5,176.7,4,OFF,ON,ON,OFF,ON,ON
7826.5,0.606,4739,72.5,161.2,3,OFF,ON,ON,ON,OFF,OFF
10039.9,0.646,6485.3,75.4,178.9,4,OFF,ON,ON,ON,OFF,ON
9751.3,0.633,6169.4,75.7,176,4,OFF,ON,ON,ON,ON,OFF
11655.8,0.68,7929.8,78,195,5,OFF,ON,ON,ON,ON,ON
2696.2,0.481,1296.5,75.8,134,1,ON,OFF,OFF,OFF,OFF,OFF
5458.4,0.542,2956,73.8,146.7,2,ON,OFF,OFF,OFF,OFF,ON
5159.9,0.519,2676.8,76.2,145.2,2,ON,OFF,OFF,OFF,ON,OFF
7656.2,0.572,4382.7,76.1,160,3,ON,OFF,OFF,OFF,ON,ON
5371.4,0.552,2963.1,72.2,146.2,2,ON,OFF,OFF,ON,OFF,OFF
7862.9,0.596,4682.7,73.8,161.5,3,ON,OFF,OFF,ON,OFF,ON
7590.6,0.577,4376.7,75.4,159.6,3,ON,OFF,OFF,ON,ON,OFF
9757.8,0.627,6115.1,76.5,176.1,4,ON,OFF,OFF,ON,ON,ON
5348.1,0.523,2799.3,76,146.1,2,ON,OFF,ON,OFF,OFF,OFF
7836.7,0.577,4522.3,76.1,161.3,3,ON,OFF,ON,OFF,OFF,ON
7563.9,0.557,4216.7,77.9,159.5,3,ON,OFF,ON,OFF,ON,OFF
9728.3,0.612,5958.5,78.1,175.8,4,ON,OFF,ON,OFF,ON,ON
7774.7,0.581,4514.1,75.4,160.8,3,ON,OFF,ON,ON,OFF,OFF
9945.9,0.631,6274.4,76.8,178,4,ON,OFF,ON,ON,OFF,ON
9663.4,0.616,5956.7,77.4,175.3,4,ON,OFF,ON,ON,ON,OFF
11519.3,0.671,7730.8,78.5,193.6,5,ON,OFF,ON,ON,ON,ON
5211.1,0.553,2882,71.6,145.4,2,ON,ON,OFF,OFF,OFF,OFF
7723.7,0.596,4599.6,73.3,160.4,3,ON,ON,OFF,OFF,OFF,ON
7445.5,0.577,4296.6,74.9,158.8,3,ON,ON,OFF,OFF,ON,OFF
9632.8,0.626,6034.3,76.1,175.1,4,ON,ON,OFF,OFF,ON,ON
7658.1,0.6,4592.7,72.6,160,3,ON,ON,OFF,ON,OFF,OFF
9856.7,0.644,6349.1,74.8,177.1,4,ON,ON,OFF,ON,OFF,ON
9567.4,0.63,6032.2,75.4,174.6,4,ON,ON,OFF,ON,ON,OFF
11453,0.682,7807.1,77.1,192.9,5,ON,ON,OFF,ON,ON,ON
7631,0.581,4432.6,74.9,159.9,3,ON,ON,ON,OFF,OFF,OFF
9825.8,0.63,6192.2,76.4,176.8,4,ON,ON,ON,OFF,OFF,ON
9537.5,0.616,5875.6,77,174.3,4,ON,ON,ON,OFF,ON,OFF
11411.6,0.67,7650.3,78.2,192.5,5,ON,ON,ON,OFF,ON,ON
9763.5,0.634,6189.7,75.6,176.2,4,ON,ON,ON,ON,OFF,OFF
11636.5,0.686,7980.1,77.3,194.8,5,ON,ON,ON,ON,OFF,ON
11352.1,0.674,7653.1,77.5,191.9,5,ON,ON,ON,ON,ON,OFF
12993.2,0.726,9434.3,78.1,208.2,6,ON,ON,ON,ON,ON,ON
